epl;epl_bezeichnung;kapitel;titel;titelart;zweckbestimmung;soll_2025_eur;jurisdiction_ags
06;Bundesministerium des Innern und für Heimat;0601;68501;Zuschuss;Zuschüsse für Digitalisierungsprojekte der Kommunen;125000000;DE
06;Bundesministerium des Innern und für Heimat;0602;53201;Sachausgabe;Öffentlichkeitsarbeit und Bürgerinformation;8400000;DE
09;Bundesministerium für Wirtschaft und Klimaschutz;0902;68301;Zuschuss;Förderung erneuerbarer Energien in Kommunen;540000000;DE
09;Bundesministerium für Wirtschaft und Klimaschutz;0903;89201;Investition;Breitbandausbau ländlicher Raum;312000000;DE
11;Bundesministerium für Arbeit und Soziales;1101;68101;Zuschuss;Zuschüsse zur sozialen Teilhabe;76500000;DE
15;Bundesministerium für Gesundheit;1502;68401;Zuschuss;Öffentlicher Gesundheitsdienst der Länder;44000000;DE
30;Bundesministerium für Bildung und Forschung;3004;68301;Zuschuss;Digitale Bildungsinfrastruktur an Schulen;210000000;DE
30;Bundesministerium für Bildung und Forschung;3005;89301;Investition;Forschungsbauten an Hochschulen;185000000;DE
60;Allgemeine Finanzverwaltung;6002;61001;Zuweisung;Zuweisungen an Gemeinden im Rahmen des Finanzausgleichs;1450000000;DE
12;Bundesministerium für Digitales und Verkehr;1201;89101;Investition;Radverkehrsinfrastruktur der Kommunen;98000000;DE
